Sentence	Intent
일정 알려줘	시간표조회
수업 뭐있어	시간표조회
시간표 알려줘	시간표조회
시간표 가르쳐줘	시간표조회
시간표조회	시간표조회
장소 어디야	위치조회
장소 가르쳐줘	위치조회
장소 알려줘	위치조회
장소 주소 어디있어	위치조회
장소 주소 어디야	위치조회
장소 주소 가르쳐줘	위치조회
장소 주소 알려줘	위치조회
장소 주소 어디있어	위치조회
지하철 언제와	지하철조회
장소 지하철 언제와	지하철조회
지하철 언제 도착해	지하철조회
지하철조회	지하철조회
지하철 시간 알려줘	지하철조회
지하철 시간표 알려줘	지하철조회
관계자 정보 알려줘	관계자조회
관계자 정보 가르쳐줘	관계자조회
정보 가르쳐줘	관계자조회
정보 알려줘	관계자조회
관계자조회	관계자조회
학사 일정 가르쳐줘	학사일정조회
학사 일정 알려줘	학사일정조회
학교 일정 가르쳐줘	학사일정조회
학교 일정 알려줘	학사일정조회
학사일정 가르쳐줘	학사일정조회
학사일정 알려줘	학사일정조회
학사일정조회	학사일정조회
버스 언제와	버스조회
장소 버스 언제와	버스조회
버스 언제 도착해	버스조회
버스 시간 알려줘	버스조회
버스조회	버스조회
버스 시간표 알려줘	버스조회
